pedido_id,data,valor,desconto,total,status
1001,2026-01-05,1000.00,50.00,950.00,PAID
1002,2026-01-12,480.00,0.00,480.00,PAID
1003,2026-01-20,250.00,25.00,225.00,CANCELLED
1004,2026-01-28,1320.50,120.50,1200.00,PENDING
1005,2026-02-03,760.00,60.00,700.00,PAID
1006,2026-02-15,199.90,0.00,199.90,PAID
1007,2026-02-27,2500.00,250.00,2250.00,PAID
1008,2026-03-08,540.00,40.00,500.00,PENDING
1009,2026-03-19,880.00,80.00,800.00,PAID
1010,2026-03-30,1500.00,0.00,1500.00,CANCELLED
1011,2026-07-04,320.00,20.00,300.00,PAID
1012,2026-07-16,4100.00,100.00,4000.00,PAID
